"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2022","6,270.00","6,574.00","6,574.00","6,574.00","","-5.13%"
"06/01/2022","6,609.00","6,550.00","6,550.00","6,550.00","","-5.77%"
"05/01/2022","7,014.00","7,014.00","7,014.00","7,014.00","","-8.52%"
"04/01/2022","7,667.00","7,850.00","7,850.00","7,850.00","0.04K","-2.23%"
"03/01/2022","7,842.00","7,600.00","7,925.00","7,410.00","0.78K","-0.73%"
"02/01/2022","7,900.00","6,380.00","7,900.00","6,350.00","10.11K","23.82%"
"01/01/2022","6,380.00","6,200.00","6,475.00","6,003.00","32.22K","1.75%"
"12/01/2021","6,270.00","6,173.00","6,885.00","5,790.00","212.59K","2.59%"
"11/01/2021","6,112.00","5,417.00","6,907.00","5,340.00","568.70K","13.73%"
"10/01/2021","5,374.00","5,552.00","5,898.00","5,093.00","348.51K","-4.43%"
"09/01/2021","5,623.00","8,194.00","9,190.00","5,606.00","214.14K","-29.72%"
"08/01/2021","8,001.00","9,990.00","10,680.00","7,600.00","164.12K","-20.63%"
"07/01/2021","10,081.00","7,250.00","10,089.00","7,191.00","334.10K","40.38%"
"06/01/2021","7,181.00","6,930.00","7,360.00","6,550.00","309.79K","4.48%"
"05/01/2021","6,873.00","7,256.00","7,910.00","6,801.00","316.11K","-3.29%"
"04/01/2021","7,107.00","6,050.00","8,100.00","6,050.00","438.64K","18.59%"
"03/01/2021","5,993.00","5,111.00","6,015.00","4,998.00","558.08K","18.02%"
"02/01/2021","5,078.00","4,695.00","5,134.00","4,553.00","527.92K","9.35%"
"01/01/2021","4,644.00","4,610.00","4,830.00","4,412.00","481.57K","0.83%"
"12/01/2020","4,606.00","4,390.00","4,621.00","4,216.00","640.66K","4.33%"
"11/01/2020","4,415.00","4,251.00","4,561.00","4,191.00","453.16K","3.57%"
"10/01/2020","4,263.00","3,900.00","4,420.00","3,810.00","481.30K","10.27%"
"09/01/2020","3,866.00","4,098.00","4,098.00","3,746.00","270.35K","-6.07%"
"08/01/2020","4,116.00","3,802.00","4,128.00","3,642.00","159.87K","8.89%"
"07/01/2020","3,780.00","3,726.00","3,820.00","3,664.00","163.64K","1.78%"
"06/01/2020","3,714.00","3,842.00","3,990.00","3,698.00","285.37K","-2.77%"
"05/01/2020","3,820.00","3,810.00","4,050.00","3,718.00","214.68K","-4.31%"
"04/01/2020","3,992.00","3,770.00","3,968.00","3,664.00","161.70K","5.16%"
"03/01/2020","3,796.00","3,730.00","3,910.00","3,276.00","358.33K","2.37%"
"02/01/2020","3,708.00","4,064.00","4,186.00","3,692.00","442.19K","-9.21%"
"01/01/2020","4,084.00","4,458.00","4,480.00","3,950.00","669.19K","-7.94%"
"12/01/2019","4,436.00","4,080.00","4,506.00","4,074.00","552.01K","8.94%"
"11/01/2019","4,072.00","3,883.00","4,121.00","3,851.00","530.54K","5.41%"
"10/01/2019","3,863.00","3,925.00","3,988.00","3,671.00","408.23K","-1.25%"
"09/01/2019","3,912.00","3,860.00","4,097.00","3,686.00","386.44K","2.27%"
"08/01/2019","3,825.00","3,575.00","3,888.00","3,531.00","327.93K","6.40%"
"07/01/2019","3,595.00","3,688.00","3,720.00","3,454.00","308.53K","-2.15%"
"06/01/2019","3,674.00","3,698.00","3,725.00","3,587.00","262.70K","-0.65%"
"05/01/2019","3,698.00","3,670.00","3,792.00","3,556.00","406.07K","0.60%"
"04/01/2019","3,676.00","3,693.00","3,829.00","3,650.00","464.82K","-0.14%"
"03/01/2019","3,681.00","3,620.00","3,741.00","3,592.00","507.05K","1.85%"
"02/01/2019","3,614.00","3,848.00","3,848.00","3,607.00","514.55K","-5.54%"
"01/01/2019","3,826.00","3,400.00","3,915.00","3,386.00","883.71K","12.56%"
"12/01/2018","3,399.00","3,366.00","3,450.00","3,252.00","478.45K","1.34%"
"11/01/2018","3,354.00","3,310.00","3,445.00","3,301.00","562.56K","1.02%"
"10/01/2018","3,320.00","3,220.00","3,390.00","3,149.00","738.04K","2.19%"
"09/01/2018","3,249.00","3,249.00","3,388.00","3,212.00","586.51K","0.84%"
"08/01/2018","3,222.00","3,400.00","3,444.00","3,158.00","555.06K","-5.01%"
"07/01/2018","3,392.00","3,585.00","3,650.00","3,318.00","427.99K","-4.88%"
"06/01/2018","3,566.00","3,562.00","3,580.00","3,315.00","480.12K","0.48%"
"05/01/2018","3,549.00","3,670.00","3,838.00","3,526.00","630.27K","-3.27%"
"04/01/2018","3,669.00","3,770.00","3,895.00","3,591.00","780.97K","-2.32%"
"03/01/2018","3,756.00","3,815.00","3,894.00","3,654.00","719.76K","-1.21%"
"02/01/2018","3,802.00","3,655.00","3,880.00","3,416.00","1.17M","3.18%"
"01/01/2018","3,685.00","3,070.00","3,849.00","3,047.00","1.44M","20.27%"
"12/01/2017","3,064.00","3,018.00","3,117.00","2,967.00","591.81K","0.99%"
"11/01/2017","3,034.00","2,772.00","3,040.00","2,764.00","983.49K","9.41%"
"10/01/2017","2,773.00","2,950.00","2,965.00","2,754.00","552.30K","-7.10%"
"09/01/2017","2,985.00","3,080.00","3,155.00","2,980.00","671.99K","-2.64%"
"08/01/2017","3,066.00","3,035.00","3,284.00","2,919.00","590.55K","1.32%"
"07/01/2017","3,026.00","2,878.00","3,074.00","2,865.00","440.50K","6.03%"
"06/01/2017","2,854.00","2,685.00","2,878.00","2,643.00","495.32K","5.86%"
"05/01/2017","2,696.00","2,950.00","2,960.00","2,663.00","571.21K","-8.11%"
"04/01/2017","2,934.00","2,850.00","3,070.00","2,818.00","544.25K","2.77%"
"03/01/2017","2,855.00","2,955.00","2,969.00","2,760.00","897.66K","-2.79%"
"02/01/2017","2,937.00","3,028.00","3,077.00","2,863.00","570.44K","-3.26%"
"01/01/2017","3,036.00","3,034.00","3,156.00","2,975.00","489.63K","0.23%"
"12/01/2016","3,029.00","3,115.00","3,150.00","2,947.00","500.12K","-2.79%"
"11/01/2016","3,116.00","3,120.00","3,162.00","2,917.00","657.54K","0.06%"
"10/01/2016","3,114.00","3,253.00","3,276.00","2,974.00","638.96K","-3.74%"
"09/01/2016","3,235.00","3,247.00","3,421.00","3,151.00","1.08M","-0.68%"
"08/01/2016","3,257.00","3,550.00","3,678.00","3,246.00","1.14M","-8.43%"
"07/01/2016","3,557.00","3,717.00","3,825.00","3,485.00","566.84K","-4.89%"
"06/01/2016","3,740.00","3,825.00","3,947.00","3,707.00","677.36K","-2.48%"
"05/01/2016","3,835.00","3,959.00","4,034.00","3,800.00","716.16K","-2.34%"
"04/01/2016","3,927.00","4,033.00","4,309.00","3,910.00","880.96K","-2.07%"
"03/01/2016","4,010.00","3,652.00","4,090.00","3,585.00","952.97K","9.44%"
"02/01/2016","3,664.00","3,730.00","3,820.00","3,650.00","613.50K","-1.66%"
"01/01/2016","3,726.00","3,725.00","3,825.00","3,556.00","722.88K","-0.08%"
"12/01/2015","3,729.00","3,839.00","3,885.00","3,554.00","971.04K","-2.36%"
"11/01/2015","3,819.00","3,820.00","3,975.00","3,725.00","912.09K","-0.44%"
"10/01/2015","3,836.00","3,451.00","4,121.00","3,451.00","1.34M","11.54%"
"09/01/2015","3,439.00","3,231.00","3,486.00","3,141.00","1.60M","6.67%"
"08/01/2015","3,224.00","3,221.00","3,460.00","3,062.00","794.32K","-0.46%"
"07/01/2015","3,239.00","3,621.00","3,689.00","3,222.00","1.65M","-9.02%"
